home_passing_ypg,home_rushing_ypg,home_total_ypg,home_points_pg,home_passing_tds_pg,home_turnovers_pg,home_injury_pct,away_passing_ypg,away_rushing_ypg,away_total_ypg,away_points_pg,away_passing_tds_pg,away_turnovers_pg,away_injury_pct,passing_advantage,rushing_advantage,scoring_advantage,turnover_advantage,injury_advantage,home_field_advantage,is_playoff,is_neutral,week,season,home_win,home_score,away_score,game_id
26.076923,11.076923,37.153847,6.143077,0.15384615384615385,0.11538461595773697,25.5,22.096775,12.774194,34.870968,6.241935,0.16129032258064516,0.06451612710952759,25.5,3.9801483,-1.6972704,-0.09885788,-0.05086848884820938,0.0,2.5,1,0,4,2015,0,23.0,37.0,2015_4_TB_CAR
21.666666,13.060606,34.727272,5.6121216,0.09090909090909091,0.12121212482452393,25.5,24.214285,6.892857,31.107141,5.5792856,0.10714285714285714,0.1428571492433548,25.5,-2.5476189,6.167749,0.03283596,0.02164502441883087,0.0,2.5,1,0,4,2015,1,23.0,20.0,2015_4_WAS_PHI
26.034483,5.8965516,31.931034,5.889655,0.1724137931034483,0.1034482792019844,25.5,15.78125,13.53125,29.3125,4.625,0.03125,0.0625,25.5,10.253233,-7.6346984,1.2646551,-0.040948279201984406,0.0,2.5,1,0,4,2015,1,23.0,20.0,2015_4_DEN_MIN
17.181818,13.454545,30.636364,4.720606,0.06060606060606061,0.12121212482452393,25.5,29.653847,14.730769,44.384617,9.7784605,0.38461538461538464,0.0,25.5,-12.472029,-1.2762241,-5.0578547,-0.12121212482452393,0.0,2.5,1,0,4,2015,0,3.0,17.0,2015_4_SF_GB
28.75,7.125,35.875,5.925,0.0625,0.09375,25.5,29.51724,10.896552,40.41379,7.2220693,0.13793103448275862,0.1034482792019844,25.5,-0.7672405,-3.771552,-1.2970691,0.009698279201984406,0.0,2.5,1,0,4,2015,1,26.0,20.0,2015_4_NO_DAL
21.625,12.5625,34.1875,5.78375,0.125,0.0625,25.5,30.148148,5.0,35.148148,6.424444,0.18518518518518517,0.18518517911434174,25.5,-8.523148,7.5625,-0.64069414,0.12268517911434174,0.0,2.5,1,0,4,2015,1,13.0,10.0,2015_4_SEA_DET
27.0,9.068182,36.068184,6.186818,0.13636363636363635,0.09090909361839294,25.5,27.236841,9.210526,36.44737,6.1552634,0.15789473684210525,0.18421052396297455,25.5,-0.2368412,-0.14234447,0.0315547,0.0933014303445816,0.0,2.5,1,0,5,2015,0,20.0,27.0,2015_5_HOU_IND
32.48649,12.27027,44.75676,8.856216,0.16216216216216217,0.054054055362939835,25.5,22.84091,12.681818,35.522728,5.7386365,0.09090909090909091,0.09090909361839294,25.5,9.645578,-0.41154766,3.11758,0.03685503825545311,0.0,2.5,1,0,5,2015,1,25.0,19.0,2015_5_ATL_WAS
22.319149,8.702127,31.021276,5.0161695,0.10638297872340426,0.10638298094272614,25.5,25.0,8.159091,33.159092,5.997727,0.1590909090909091,0.04545454680919647,25.5,-2.680851,0.54303646,-0.98155737,-0.06092843413352966,0.0,2.5,1,0,5,2015,0,30.0,33.0,2015_5_BAL_CLE
33.914288,14.6285715,48.54286,9.810857,0.2571428571428571,0.02857142873108387,25.5,23.309525,12.190476,35.5,5.768095,0.11904761904761904,0.0476190485060215,25.5,10.604763,2.438095,4.042762,0.01904761977493763,0.0,2.5,1,0,5,2015,1,27.0,24.0,2015_5_CIN_SEA
30.833334,12.0,42.833336,7.2388883,0.1111111111111111,0.0833333358168602,25.5,21.31579,13.0,34.31579,5.3894744,0.10526315789473684,0.10526315867900848,25.5,9.517544,-1.0,1.8494139,0.021929822862148285,0.0,2.5,1,0,5,2015,0,17.0,18.0,2015_5_KC_CHI
24.947369,7.368421,32.31579,6.0189476,0.15789473684210525,0.10526315867900848,25.5,30.452381,7.8809524,38.333332,6.575238,0.09523809523809523,0.0714285746216774,25.5,-5.5050125,-0.5125313,-0.5562906,-0.033834584057331085,0.0,2.5,1,0,5,2015,1,39.0,17.0,2015_5_PHI_NO
28.382353,12.617647,41.0,6.8235292,0.17647058823529413,0.20588235557079315,25.5,23.714285,9.952381,33.666664,5.553333,0.14285714285714285,0.0714285746216774,25.5,4.668068,2.665266,1.2701964,-0.13445378094911575,0.0,2.5,1,0,5,2015,1,38.0,31.0,2015_5_TB_JAX
24.5,11.117647,35.617645,7.071176,0.23529411764705882,0.05882352963089943,25.5,25.333334,13.153846,38.48718,7.4261537,0.20512820512820512,0.10256410390138626,25.5,-0.83333397,-2.0361986,-0.3549776,0.04374057427048683,0.0,2.5,1,0,5,2015,0,13.0,14.0,2015_5_TEN_BUF
27.486486,5.081081,32.567566,5.5994596,0.13513513513513514,0.13513512909412384,25.5,28.875,12.175,41.05,8.26,0.25,0.07500000298023224,25.5,-1.3885136,-7.0939193,-2.6605406,-0.0601351261138916,0.0,2.5,1,0,5,2015,0,17.0,42.0,2015_5_DET_ARI
26.878048,10.512196,37.390244,6.6190243,0.12195121951219512,0.0731707289814949,25.5,37.066666,8.7,45.766666,9.926,0.3,0.0,25.5,-10.188618,1.8121958,-3.3069754,-0.0731707289814949,0.0,2.5,1,0,5,2015,0,6.0,30.0,2015_5_DAL_NE
