home_passing_ypg,home_rushing_ypg,home_total_ypg,home_points_pg,home_passing_tds_pg,home_turnovers_pg,home_injury_pct,home_def_yards_allowed,home_def_points_allowed,home_recent_points,home_points_trend,away_passing_ypg,away_rushing_ypg,away_total_ypg,away_points_pg,away_passing_tds_pg,away_turnovers_pg,away_injury_pct,away_def_yards_allowed,away_def_points_allowed,away_recent_points,away_points_trend,passing_advantage,rushing_advantage,scoring_advantage,momentum_advantage,turnover_advantage,injury_advantage,defensive_advantage,offensive_vs_defense,home_field_advantage,is_playoff,is_neutral,week,season,rest_days,is_division_game,vegas_spread,home_win,home_score,away_score,game_id
290.33334,99.0,389.33334,63.88,0.6666666666666666,0.6666666865348816,25.5,386.0,27.0,63.88,0.0,262.0,149.66667,411.66666,71.64666,1.3333333333333333,1.6666666269302368,25.5,360.6666666666667,20.333333333333332,71.64666,0.0,28.333344,-50.66667,-7.766659,0.0,0.9999999403953552,0.0,-6.666666666666668,43.546667734781906,2.5,1,0,4,2020,7,0,0,1,31.0,21.0,2020_4_CAR_ARI
273.66666,79.333336,353.0,62.91333,1.6666666666666667,0.3333333432674408,25.5,398.0,24.666666666666668,62.91333,0.0,262.33334,109.333336,371.66666,70.99333,2.0,1.0,25.5,370.3333333333333,28.0,70.99333,0.0,11.333313,-30.0,-8.080002,0.0,0.6666666567325592,0.0,3.333333333333332,34.913330078125,2.5,1,0,4,2020,7,0,0,1,33.0,25.0,2020_4_CIN_JAX
396.0,107.333336,503.33334,90.84,1.6666666666666667,0.6666666865348816,25.5,415.3333333333333,32.333333333333336,90.84,0.0,188.0,170.33333,358.33334,67.35333,1.6666666666666667,0.6666666865348816,25.5,368.6666666666667,29.333333333333332,67.35333,0.0,208.0,-62.999992,23.486664,0.0,0.0,0.0,-3.0000000000000036,61.506663004557296,2.5,1,0,4,2020,7,0,0,0,38.0,49.0,2020_4_DAL_CLE
270.33334,105.666664,376.0,67.746666,1.6666666666666667,0.6666666865348816,25.5,423.0,30.666666666666668,67.746666,0.0,266.0,105.333336,371.33334,72.439995,2.0,0.3333333432674408,25.5,368.6666666666667,31.333333333333332,72.439995,0.0,4.3333435,0.33332825,-4.693329,0.0,-0.3333333432674408,0.0,0.6666666666666643,36.413332621256515,2.5,1,0,4,2020,7,0,0,0,29.0,35.0,2020_4_DET_NO
264.0,66.0,330.0,60.226665,1.3333333333333333,1.0,25.5,405.6666666666667,31.666666666666668,60.226665,0.0,207.66667,146.66667,354.33334,67.07333,1.6666666666666667,2.0,25.5,447.3333333333333,34.0,67.07333,0.0,56.33333,-80.66667,-6.8466682,0.0,1.0,0.0,2.333333333333332,26.226665496826172,2.5,1,0,4,2020,7,0,0,0,23.0,31.0,2020_4_HOU_MIN
226.33333,108.0,334.33334,63.819996,1.3333333333333333,1.0,25.5,415.3333333333333,21.666666666666668,63.819996,0.0,308.33334,118.333336,426.66666,104.333336,4.666666666666667,0.3333333432674408,25.5,506.3333333333333,28.666666666666668,104.333336,0.0,-82.000015,-10.333336,-40.51334,0.0,-0.6666666567325592,0.0,7.0,35.15332921346028,2.5,1,0,4,2020,7,0,0,0,23.0,31.0,2020_4_MIA_SEA
251.0,92.0,343.0,69.67333,2.0,1.0,25.5,335.0,20.333333333333332,69.67333,0.0,283.0,151.66667,434.66666,64.12,0.6666666666666666,0.6666666865348816,25.5,352.6666666666667,19.0,64.12,0.0,-32.0,-59.66667,5.5533295,0.0,-0.3333333134651184,0.0,-1.3333333333333321,50.67333221435547,2.5,1,0,4,2020,7,0,0,1,38.0,31.0,2020_4_TB_LAC
208.33333,100.0,308.33334,56.5,1.3333333333333333,1.0,25.5,362.3333333333333,27.0,56.5,0.0,195.0,166.33333,361.33334,67.26667,1.6666666666666667,0.0,25.5,390.0,18.666666666666668,67.26667,0.0,13.333328,-66.33333,-10.76667,0.0,-1.0,0.0,-8.333333333333332,37.83333333333333,2.5,1,0,4,2020,7,0,0,0,17.0,31.0,2020_4_WAS_BAL
287.66666,170.33333,458.0,85.97333,1.6666666666666667,0.6666666865348816,25.5,392.3333333333333,23.666666666666668,85.97333,0.0,233.0,56.666668,289.66666,42.286667,0.6666666666666666,1.3333333730697632,25.5,377.0,26.333333333333332,42.286667,0.0,54.666656,113.66666,43.68666,0.0,0.6666666865348816,0.0,2.6666666666666643,59.63999430338542,2.5,1,0,4,2020,7,0,0,1,17.0,9.0,2020_4_LA_NYG
249.33333,138.0,387.33334,76.04,3.0,1.3333333730697632,25.5,377.6666666666667,20.666666666666668,76.04,0.0,270.33334,119.333336,389.66666,63.78,1.0,1.0,25.5,244.66666666666666,15.0,63.78,0.0,-21.000015,18.666664,12.260002,0.0,-0.3333333730697632,0.0,-5.666666666666668,61.040000915527344,2.5,1,0,4,2020,7,0,0,0,11.0,19.0,2020_4_CHI_IND
261.33334,125.0,386.33334,74.42,2.0,0.0,25.5,411.3333333333333,30.0,74.42,0.0,346.0,103.666664,449.66666,92.80666,3.3333333333333335,0.3333333432674408,25.5,394.0,25.666666666666668,92.80666,0.0,-84.66666,21.333336,-18.386665,0.0,0.3333333432674408,0.0,-4.333333333333332,48.75333150227864,2.5,1,0,4,2020,7,0,0,0,23.0,30.0,2020_4_LV_BUF
268.0,132.66667,400.66666,76.786674,1.6666666666666667,0.3333333432674408,25.5,312.6666666666667,15.333333333333334,76.786674,0.0,245.66667,116.666664,362.33334,56.726665,1.0,2.0,25.5,358.6666666666667,29.0,56.726665,0.0,22.333328,16.000008,20.060009,0.0,1.6666666567325592,0.0,13.666666666666666,47.78667449951172,2.5,1,0,4,2020,7,0,0,0,20.0,25.0,2020_4_SF_PHI
299.33334,141.0,440.33334,90.67333,3.0,0.0,25.5,373.3333333333333,20.0,90.67333,0.0,238.0,178.0,416.0,70.45334,0.6666666666666666,0.6666666865348816,25.5,369.0,22.0,70.45334,0.0,61.333344,-37.0,20.219994,0.0,0.6666666865348816,0.0,2.0,68.67333221435547,2.5,1,0,4,2020,7,0,0,1,26.0,10.0,2020_4_KC_NE
295.66666,171.66667,467.33334,97.22666,3.0,0.0,25.5,378.6666666666667,28.333333333333332,97.22666,0.0,320.33334,109.666664,430.0,83.14667,2.3333333333333335,0.6666666865348816,25.5,475.6666666666667,36.0,83.14667,0.0,-24.666687,62.000008,14.079994,0.0,0.6666666865348816,0.0,7.666666666666668,61.226661682128906,2.5,1,0,4,2020,7,0,0,1,30.0,16.0,2020_4_GB_ATL
249.25,110.5,359.75,68.945,2.5,1.25,25.5,356.5,20.25,65.666664,-13.113334655761719,280.5,97.75,378.25,80.045,2.75,1.0,25.5,335.25,23.0,85.37333,21.313331604003906,-31.25,12.75,-11.099998,-0.11261553250422332,-0.25,0.0,2.75,45.94499969482422,2.5,1,0,5,2020,7,0,0,1,20.0,19.0,2020_5_CHI_TB
311.5,101.75,413.25,77.285,1.75,0.5,25.5,460.5,34.5,72.31333,-19.88666534423828,286.75,116.25,403.0,69.270004,1.0,0.75,25.5,355.0,25.5,66.840004,-9.719993591308594,24.75,-14.5,8.014999,-0.028926431867414087,0.25,0.0,-9.0,51.785003662109375,2.5,1,0,5,2020,7,0,0,0,16.0,23.0,2020_5_ATL_CAR
198.25,160.75,359.0,68.33,1.75,0.5,25.5,388.25,18.25,60.820004,-30.039997100830078,280.25,110.75,391.0,67.81,1.5,0.5,25.5,408.5,24.75,76.67333,35.453330993652344,-82.0,50.0,0.5200043,-0.23713130939455102,0.0,0.0,6.5,43.58000183105469,2.5,1,0,5,2020,7,0,0,1,27.0,3.0,2020_5_BAL_CIN
273.0,73.5,346.5,63.07,1.5,0.75,25.5,409.75,31.5,61.686665,-5.533336639404297,284.5,104.25,388.75,72.255,2.0,1.0,25.5,404.0,29.25,75.23334,11.913337707519531,-11.5,-30.75,-9.184998,-0.062248156165246676,0.25,0.0,-2.25,33.81999969482422,2.5,1,0,5,2020,7,0,0,1,30.0,14.0,2020_5_HOU_JAX
283.5,129.25,412.75,83.115,2.75,0.0,25.5,373.75,17.5,83.44,1.3000030517578125,273.75,115.25,389.0,72.85,2.0,0.0,25.5,396.25,30.0,72.21333,-2.5466690063476562,9.75,14.0,10.264999,0.0124848735041569,0.0,0.0,12.5,53.11499786376953,2.5,1,0,5,2020,7,0,0,0,32.0,40.0,2020_5_KC_LV
202.0,98.5,300.5,46.129997,0.75,1.0,25.5,376.5,32.75,45.74,-1.55999755859375,229.75,144.5,374.25,68.615,1.75,1.25,25.5,381.5,23.0,68.08666,-2.1133346557617188,-27.75,-46.0,-22.485,-0.0006854977674882728,0.25,0.0,-9.75,23.12999725341797,2.5,1,0,5,2020,7,0,0,0,10.0,30.0,2020_5_NYJ_ARI
259.0,139.66667,398.66666,77.560005,2.3333333333333335,0.3333333432674408,25.5,327.0,19.333333333333332,77.560005,0.0,232.5,110.75,343.25,56.125,1.0,1.75,25.5,382.5,26.75,55.666668,-1.8333320617675781,26.5,28.916672,21.435005,0.008023318367922593,1.4166666567325592,0.0,7.416666666666668,50.81000518798828,2.5,1,0,5,2020,7,0,0,1,38.0,29.0,2020_5_PIT_PHI
234.75,92.25,327.0,57.59,1.0,0.75,25.5,359.75,28.0,58.48,3.5600013732910156,265.75,142.25,408.0,76.42999,1.5,0.5,25.5,375.75,20.0,80.64,16.84000015258789,-31.0,-50.0,-18.839993,-0.03918148735519231,-0.25,0.0,-8.0,37.59000015258789,2.5,1,0,5,2020,7,0,0,0,10.0,30.0,2020_5_WAS_LA
285.5,128.5,414.0,76.32001,1.5,0.75,25.5,306.0,17.75,78.90667,10.346672058105469,248.5,106.75,355.25,62.964996,1.0,1.25,25.5,426.0,24.0,71.47333,34.033329010009766,37.0,21.75,13.355011,-0.09956144290783098,0.5,0.0,6.25,52.32000732421875,2.5,1,0,5,2020,7,0,0,0,17.0,43.0,2020_5_SF_MIA
191.5,204.5,396.0,77.76,2.0,0.5,25.5,423.25,31.5,88.92667,44.66666793823242,250.25,115.25,365.5,59.559998,1.0,0.75,25.5,252.75,14.0,55.539997,-16.079998016357422,-58.75,89.25,18.200005,0.20816136111136943,0.25,0.0,-17.5,63.76000213623047,2.5,1,0,5,2020,7,0,0,1,32.0,23.0,2020_5_CLE_IND
422.5,101.75,524.25,99.825,2.25,0.75,25.5,438.75,36.5,110.82,43.97999572753906,222.25,76.5,298.75,41.265,0.5,1.25,25.5,347.25,24.0,35.699997,-22.26000213623047,200.25,25.25,58.559998,0.2407196548051331,0.5,0.0,-12.5,75.82499694824219,2.5,1,0,5,2020,7,0,0,1,37.0,34.0,2020_5_DAL_NYG
